GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AJV001,AJV002
"G010","1870","Alabama","010",,,"Alabama",67739040,3286924
"G045","1870","Arizona Territory","045",,,"Arizona Territory",161340,20105
"G050","1870","Arkansas","050",,,"Arkansas",40029696,2237409
"G060","1870","California","060",,,"California",141240032,5316690
"G085","1870","Colorado Territory","085",,,"Colorado Territory",3385748,272604
"G090","1870","Connecticut","090",,,"Connecticut",124241384,3246599
"G095","1870","Dakota Territory","095",,,"Dakota Territory",2085265,142612
"G100","1870","Delaware","100",,,"Delaware",46712872,1201644
"G110","1870","District Of Columbia","110",,,"District of Columbia",3800230,39450
"G120","1870","Florida","120",,,"Florida",9947920,505074
"G130","1870","Georgia","130",,,"Georgia",94559472,4614701
"G165","1870","Idaho Territory","165",,,"Idaho Territory",492860,59295
"G170","1870","Illinois","170",,,"Illinois",920506368,34576588
"G180","1870","Indiana","180",,,"Indiana",634804160,17676592
"G190","1870","Iowa","190",,,"Iowa",392662432,20509582
"G200","1870","Kansas","200",,,"Kansas",90327040,4053312
"G210","1870","Kentucky","210",,,"Kentucky",311238912,8572896
"G220","1870","Louisiana","220",,,"Louisianna",68215424,7159333
"G230","1870","Maine","230",,,"Maine",102961952,4809113
"G240","1870","Maryland","240",,,"Maryland",170369680,5268676
"G250","1870","Massachusetts","250",,,"Massachusetts",116432784,5000879
"G260","1870","Michigan","260",,,"Michigan",398240576,13711980
"G270","1870","Minnesota","270",,,"Minnesota",97847440,6721120
"G280","1870","Mississippi","280",,,"Mississippi",81716576,4456633
"G290","1870","Missouri","290",,,"Missouri",392908032,15596426
"G305","1870","Montana Territory","305",,,"Montana Territory",729193,145438
"G310","1870","Nebraska","310",,,"Nebraska",30242186,1549716
"G320","1870","Nevada","320",,,"Nevada",1485505,163718
"G330","1870","New Hampshire","330",,,"New Hampshire",80589312,3459943
"G340","1870","New Jersey","340",,,"New Jersey",257523376,7887991
"G355","1870","New Mexico Territory","355",,,"New Mexico Territory",2260139,121114
"G360","1870","New York","360",,,"New York",1272857728,45997712
"G370","1870","North Carolina","370",,,"North Carolina",78211080,4082111
"G390","1870","Ohio","390",,,"Ohio",1054465216,25692788
"G410","1870","Oregon","410",,,"Oregon",22352988,1293717
"G420","1870","Pennsylvania","420",,,"Pennsylvania",1043481600,35658196
"G440","1870","Rhode Island","440",,,"Rhode Island",21574968,786246
"G450","1870","South Carolina","450",,,"South Carolina",44808764,2282946
"G470","1870","Tennessee","470",,,"Tennessee",218743744,8199487
"G480","1870","Texas","480",,,"Texas",60149952,3396793
"G495","1870","Utah Territory","495",,,"Utah Territory",2297922,291390
"G500","1870","Vermont","500",,,"Vermont",139367072,5250279
"G510","1870","Virginia","510",,,"Virginia",213020848,4924036
"G535","1870","Washington Territory","535",,,"Washington Territory",3978341,280551
"G540","1870","West Virginia","540",,,"West Virginia",101604384,2112937
"G550","1870","Wisconsin","550",,,"Wisconsin",300414080,14239364
"G565","1870","Wyoming Territory","565",,,"Wyoming Territory",18187,5723
