GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AOD001,AOD002,AOD003
"G010","1880","Alabama","010",,,"Alabama",78954648,3788978,23787680
"G025","1880","Alaska Territory","025",,,"Alaska Territory",,,
"G045","1880","Arizona Territory","045",,,"Arizona Territory",1127946,88811,1167989
"G050","1880","Arkansas","050",,,"Arkansas",74249656,4637497,20472424
"G060","1880","California","060",,,"California",262051280,8447744,35500416
"G080","1880","Colorado","080",,,"Colorado",25109224,910085,8703342
"G090","1880","Connecticut","090",,,"Connecticut",121063912,3162628,10959296
"G095","1880","Dakota Territory","095",,,"Dakota Territory",22401084,2390091,6463274
"G100","1880","Delaware","100",,,"Delaware",36789672,1504567,3420080
"G110","1880","District Of Columbia","110",,,"District of Columbia",3632403,36798,123300
"G120","1880","Florida","120",,,"Florida",20291836,689666,5358980
"G130","1880","Georgia","130",,,"Georgia",111910544,5317416,25930352
"G165","1880","Idaho Territory","165",,,"Idaho Territory",2832890,363930,2246800
"G170","1880","Illinois","170",,,"Illinois",1009594560,33739952,132437760
"G180","1880","Indiana","180",,,"Indiana",635236096,20476988,71068760
"G190","1880","Iowa","190",,,"Iowa",567430208,29371884,124715104
"G200","1880","Kansas","200",,,"Kansas",235178944,15652848,60907148
"G210","1880","Kentucky","210",,,"Kentucky",299298624,9734634,49670568
"G220","1880","Louisiana","220",,,"Louisianna",58989116,5435525,12345906
"G230","1880","Maine","230",,,"Maine",102357616,4948048,16499376
"G240","1880","Maryland","240",,,"Maryland",165503344,5788197,15865728
"G250","1880","Massachusetts","250",,,"Massachusetts",146197408,5134537,12957004
"G260","1880","Michigan","260",,,"Michigan",499103168,19419360,55720112
"G270","1880","Minnesota","270",,,"Minnesota",193724256,13089784,31904820
"G280","1880","Mississippi","280",,,"Mississippi",92844912,4885636,24285716
"G290","1880","Missouri","290",,,"Missouri",375633312,18103074,95785280
"G305","1880","Montana Territory","305",,,"Montana Territory",3234504,401185,5151554
"G310","1880","Nebraska","310",,,"Nebraska",105932544,7820917,33440264
"G320","1880","Nevada","320",,,"Nevada",5408325,378788,3399749
"G330","1880","New Hampshire","330",,,"New Hampshire",75834392,3069240,9812064
"G340","1880","New Jersey","340",,,"New Jersey",190895840,6921085,14861412
"G355","1880","New Mexico Territory","355",,,"New Mexico Territory",5514399,255162,5010800
"G360","1880","New York","360",,,"New York",1056176768,42592740,117868280
"G370","1880","North Carolina","370",,,"North Carolina",135793600,6078476,22414660
"G390","1880","Ohio","390",,,"Ohio",1127497344,30521180,103707728
"G410","1880","Oregon","410",,,"Oregon",56908576,2956173,13808392
"G420","1880","Pennsylvania","420",,,"Pennsylvania",975689408,35473036,84242880
"G440","1880","Rhode Island","440",,,"Rhode Island",25882080,902825,2254142
"G450","1880","South Carolina","450",,,"South Carolina",68677480,3202710,12199510
"G470","1880","Tennessee","470",,,"Tennessee",206749840,9054864,43651472
"G480","1880","Texas","480",,,"Texas",170468880,9051492,60307988
"G495","1880","Utah Territory","495",,,"Utah Territory",14015178,946753,3306638
"G500","1880","Vermont","500",,,"Vermont",109346008,4879285,16586196
"G510","1880","Virginia","510",,,"Virginia",216028112,5495114,25953316
"G535","1880","Washington Territory","535",,,"Washington Territory",13844224,958513,4852307
"G540","1880","West Virginia","540",,,"West Virginia",133147176,2699163,17742388
"G550","1880","Wisconsin","550",,,"Wisconsin",357709504,15647196,46508644
"G565","1880","Wyoming Territory","565",,,"Wyoming Territory",835895,95482,5007107
