GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AUK001,AUK002,AUK003
"G010","1890","Alabama","010",,,"Alabama",111051392,4511645,30776730
"G025","1890","Alaska Territory","025",,,"Alaska Territory",,,
"G045","1890","Arizona Territory","045",,,"Arizona Territory",7222230,196580,3257660
"G050","1890","Arkansas","050",,,"Arkansas",118574424,5672400,30772880
"G060","1890","California","060",,,"California",697116608,14689710,60259232
"G080","1890","Colorado","080",,,"Colorado",85035184,2728850,22594010
"G090","1890","Connecticut","090",,,"Connecticut",95000592,3075495,9974618
"G100","1890","Delaware","100",,,"Delaware",39586080,1835570,4198810
"G110","1890","District Of Columbia","110",,,"District of Columbia",6471120,79760,129120
"G120","1890","Florida","120",,,"Florida",72745184,1158040,7142980
"G130","1890","Georgia","130",,,"Georgia",152006224,5764978,31477990
"G160","1890","Idaho","160",,,"Idaho",17431580,1172460,7253490
"G170","1890","Illinois","170",,,"Illinois",1262870528,34456936,180431664
"G178","1890","Indian Territory","178",,,"Indian Territory",,,
"G180","1890","Indiana","180",,,"Indiana",754789120,21172256,93361424
"G190","1890","Iowa","190",,,"Iowa",857580992,36665316,206436240
"G200","1890","Kansas","200",,,"Kansas",559726016,18869790,128068304
"G210","1890","Kentucky","210",,,"Kentucky",346339360,10906506,70924400
"G220","1890","Louisiana","220",,,"Louisianna",85381272,7167355,17898380
"G230","1890","Maine","230",,,"Maine",98567728,5499413,18280140
"G240","1890","Maryland","240",,,"Maryland",175058544,6540090,19194320
"G250","1890","Massachusetts","250",,,"Massachusetts",127538288,5938940,14200178
"G260","1890","Michigan","260",,,"Michigan",556190656,22182600,69564984
"G270","1890","Minnesota","270",,,"Minnesota",340059456,16916472,57725684
"G280","1890","Mississippi","280",,,"Mississippi",127423160,5968865,33936436
"G290","1890","Missouri","290",,,"Missouri",625858368,21830720,138701168
"G300","1890","Montana","300",,,"Montana",25512340,1356010,21620688
"G310","1890","Nebraska","310",,,"Nebraska",402358912,16468978,92971920
"G320","1890","Nevada","320",,,"Nevada",12339410,537480,5801820
"G330","1890","New Hampshire","330",,,"New Hampshire",66162600,3594850,10450126
"G340","1890","New Jersey","340",,,"New Jersey",159262848,7378644,15811430
"G355","1890","New Mexico Territory","355",,,"New Mexico Territory",8140800,291140,7247180
"G360","1890","New York","360",,,"New York",968127296,46659464,124523968
"G370","1890","North Carolina","370",,,"North Carolina",183977008,7183210,25547280
"G380","1890","North Dakota","380",,,"North Dakota",75310304,6648180,18787294
"G390","1890","Ohio","390",,,"Ohio",1050031808,29475346,116181688
"G405","1890","Oklahoma Territory","405",,,"Oklahoma Territory",8581170,433580,3206270
"G410","1890","Oregon","410",,,"Oregon",115819200,4556770,22648830
"G420","1890","Pennsylvania","420",,,"Pennsylvania",922240256,39046856,101652760
"G440","1890","Rhode Island","440",,,"Rhode Island",21873480,941030,2364970
"G450","1890","South Carolina","450",,,"South Carolina",99104600,4172262,16572410
"G460","1890","South Dakota","460",,,"South Dakota",107466336,8371712,29231508
"G470","1890","Tennessee","470",,,"Tennessee",242700544,9936880,60254232
"G480","1890","Texas","480",,,"Texas",399971296,13746542,103259504
"G495","1890","Utah Territory","495",,,"Utah Territory",28402780,1164660,6813830
"G500","1890","Vermont","500",,,"Vermont",80427488,4733560,16644320
"G510","1890","Virginia","510",,,"Virginia",254490592,6593688,33404280
"G530","1890","Washington","530",,,"Washington",83461664,3150200,14113110
"G540","1890","West Virginia","540",,,"West Virginia",151880304,3116420,23964610
"G550","1890","Wisconsin","550",,,"Wisconsin",477524512,19167010,63784376
"G560","1890","Wyoming","560",,,"Wyoming",14460880,522250,15348332
